Country,EducationLevel,YearsOfExperience,Salary
United States of America,Master's degree,14.0,155000.0
United Kingdom of Great Britain and Northern Ireland,Master's degree,7.0,127388.0
United Kingdom of Great Britain and Northern Ireland,Less than Bachelor's degree,27.0,76433.0
Romania,Bachelor's degree,3.0,15536.0
France,Master's degree,24.0,71962.0
Germany,Master's degree,22.0,54777.0
Israel,Less than Bachelor's degree,8.0,100381.0
Finland,Master's degree,25.0,80555.0
Netherlands,Bachelor's degree,5.0,60147.0
United States of America,Less than Bachelor's degree,27.0,170000.0
Switzerland,Less than Bachelor's degree,10.0,89134.0
United States of America,Less than Bachelor's degree,21.0,190000.0
Other,Bachelor's degree,3.0,167554.0
Poland,Master's degree,4.0,38604.0
Portugal,Less than Bachelor's degree,19.0,83777.0
Netherlands,Bachelor's degree,2.0,38666.0
United States of America,Bachelor's degree,6.0,120000.0
United Kingdom of Great Britain and Northern Ireland,Bachelor's degree,11.0,112101.0
United States of America,Bachelor's degree,3.0,85000.0
Brazil,Bachelor's degree,3.0,34609.0
United States of America,Bachelor's degree,17.0,160000.0
Ukraine,Master's degree,4.0,10000.0
Hungary,Bachelor's degree,7.0,45655.0
Spain,Upper than Master's degree,2.0,19333.0
United States of America,Bachelor's degree,25.0,174000.0
Portugal,Master's degree,10.0,26852.0
United States of America,Bachelor's degree,12.0,119000.0
Israel,Bachelor's degree,24.0,183493.0
Russian Federation,Bachelor's degree,5.0,33613.0
Portugal,Less than Bachelor's degree,15.0,33296.0
United States of America,Less than Bachelor's degree,30.0,80000.0
United States of America,Bachelor's degree,30.0,100000.0
Spain,Master's degree,7.0,51555.0
France,Master's degree,3.0,19333.0
United States of America,Less than Bachelor's degree,9.0,170000.0
United States of America,Master's degree,8.0,126000.0
United States of America,Less than Bachelor's degree,9.0,78000.0
United States of America,Bachelor's degree,7.0,80000.0
Bangladesh,Master's degree,9.0,23454.0
"Iran, Islamic Republic of...",Bachelor's degree,18.0,60000.0
Other,Master's degree,15.0,83777.0
Indonesia,Master's degree,14.0,22079.0
Denmark,Master's degree,17.0,129602.0
France,Master's degree,23.0,93642.0
Netherlands,Master's degree,7.0,66162.0
South Africa,Less than Bachelor's degree,10.0,64570.0
Netherlands,Less than Bachelor's degree,18.0,53703.0
Japan,Bachelor's degree,11.0,66826.0
Other,Less than Bachelor's degree,10.0,26852.0
United Kingdom of Great Britain and Northern Ireland,Bachelor's degree,12.0,152865.0
United States of America,Master's degree,7.0,45000.0
United Kingdom of Great Britain and Northern Ireland,Master's degree,5.0,75159.0
Netherlands,Master's degree,7.0,69814.0
United States of America,Upper than Master's degree,20.0,90000.0
United States of America,Bachelor's degree,7.0,130000.0
United Kingdom of Great Britain and Northern Ireland,Bachelor's degree,2.0,44586.0
Germany,Bachelor's degree,7.0,75184.0
Poland,Less than Bachelor's degree,10.0,91809.0
United States of America,Master's degree,7.0,73500.0
United States of America,Master's degree,7.0,155000.0
Switzerland,Master's degree,8.0,122559.0
United States of America,Bachelor's degree,22.0,184000.0
Israel,Less than Bachelor's degree,23.0,87429.0
United States of America,Bachelor's degree,5.0,150000.0
United States of America,Bachelor's degree,28.0,130000.0
United Kingdom of Great Britain and Northern Ireland,Less than Bachelor's degree,7.0,101910.0
France,Upper than Master's degree,12.0,79481.0
India,Bachelor's degree,2.0,17945.0
Ukraine,Master's degree,6.0,63600.0
Czech Republic,Master's degree,21.0,34748.0
United States of America,Upper than Master's degree,15.0,75000.0
United Kingdom of Great Britain and Northern Ireland,Master's degree,6.0,63694.0
United States of America,Less than Bachelor's degree,8.0,80000.0
Mexico,Bachelor's degree,13.0,49354.0
Bulgaria,Bachelor's degree,19.0,82384.0
United States of America,Master's degree,19.0,130000.0
United States of America,Less than Bachelor's degree,23.0,132612.0
Russian Federation,Master's degree,5.0,47059.0
Other,Bachelor's degree,8.0,25532.0
Ukraine,Master's degree,20.0,15876.0
United States of America,Bachelor's degree,3.0,73000.0
Brazil,Master's degree,21.0,33568.0
Poland,Bachelor's degree,3.0,28458.0
Bangladesh,Bachelor's degree,10.0,45000.0
Germany,Master's degree,26.0,64444.0
Canada,Less than Bachelor's degree,12.0,145386.0
Other,Bachelor's degree,10.0,15000.0
Canada,Bachelor's degree,21.0,96937.0
Germany,Bachelor's degree,7.0,70888.0
United States of America,Bachelor's degree,13.0,140000.0
Italy,Bachelor's degree,6.0,37592.0
United Kingdom of Great Britain and Northern Ireland,Upper than Master's degree,17.0,117197.0
United States of America,Upper than Master's degree,22.0,175000.0
United States of America,Master's degree,3.0,123000.0
Germany,Less than Bachelor's degree,25.0,88073.0
Russian Federation,Less than Bachelor's degree,22.0,22409.0
Mexico,Master's degree,9.0,31483.0
Czech Republic,Bachelor's degree,8.0,65152.0
Slovakia,Master's degree,6.0,64444.0
Switzerland,Bachelor's degree,8.0,139271.0
Italy,Master's degree,4.0,45111.0
Netherlands,Bachelor's degree,6.0,53703.0
United States of America,Less than Bachelor's degree,18.0,150000.0
Other,Master's degree,10.0,50400.0
Hungary,Bachelor's degree,6.0,48916.0
Germany,Less than Bachelor's degree,22.0,69814.0
Germany,Master's degree,14.0,122443.0
Portugal,Master's degree,10.0,91295.0
Canada,Master's degree,16.0,79962.0
Italy,Upper than Master's degree,7.0,26852.0
United States of America,Upper than Master's degree,2.0,130000.0
Netherlands,Bachelor's degree,3.0,69814.0
Turkey,Bachelor's degree,10.0,71874.0
United States of America,Less than Bachelor's degree,6.0,160000.0
Switzerland,Less than Bachelor's degree,4.0,69959.0
Israel,Bachelor's degree,2.0,10794.0
Other,Less than Bachelor's degree,2.0,21481.0
Poland,Bachelor's degree,8.0,81663.0
Argentina,Less than Bachelor's degree,19.0,24000.0
Brazil,Bachelor's degree,12.0,52800.0
United Kingdom of Great Britain and Northern Ireland,Bachelor's degree,18.0,50955.0
United States of America,Less than Bachelor's degree,6.0,137000.0
Brazil,Bachelor's degree,27.0,18462.0
United States of America,Bachelor's degree,10.0,150000.0
United States of America,Less than Bachelor's degree,7.0,120000.0
India,Bachelor's degree,7.0,20577.0
United Kingdom of Great Britain and Northern Ireland,Less than Bachelor's degree,22.0,127388.0
Poland,Master's degree,4.0,56917.0
United States of America,Bachelor's degree,4.0,75000.0
United States of America,Master's degree,8.0,87500.0
United States of America,Bachelor's degree,7.0,70000.0
Italy,Less than Bachelor's degree,28.0,37592.0
United States of America,Less than Bachelor's degree,17.0,126000.0
United States of America,Bachelor's degree,13.0,152000.0
Italy,Less than Bachelor's degree,5.0,19743.0
Russian Federation,Less than Bachelor's degree,22.0,46387.0
United Kingdom of Great Britain and Northern Ireland,Bachelor's degree,6.0,125859.0
Sweden,Less than Bachelor's degree,15.0,66769.0
Germany,Master's degree,12.0,77332.0
United States of America,Bachelor's degree,25.0,135000.0
Argentina,Less than Bachelor's degree,14.0,105000.0
Italy,Master's degree,3.0,37592.0
United States of America,Master's degree,12.0,165000.0
Canada,Bachelor's degree,26.0,116309.0
Other,Bachelor's degree,9.0,13200.0
United Kingdom of Great Britain and Northern Ireland,Master's degree,4.0,50955.0
United States of America,Bachelor's degree,10.0,17000.0
United States of America,Master's degree,23.0,165000.0
United States of America,Master's degree,2.0,125000.0
United States of America,Bachelor's degree,10.0,130000.0
United States of America,Master's degree,3.0,102000.0
Other,Bachelor's degree,21.0,53171.0
United States of America,Bachelor's degree,3.0,65000.0
United Kingdom of Great Britain and Northern Ireland,Bachelor's degree,5.0,44586.0
United States of America,Bachelor's degree,12.0,192000.0
Germany,Master's degree,30.0,96666.0
Russian Federation,Master's degree,20.0,16807.0
Germany,Master's degree,4.0,69814.0
Germany,Less than Bachelor's degree,3.0,67129.0
United States of America,Bachelor's degree,21.0,163000.0
Germany,Bachelor's degree,3.0,53703.0
Other,Bachelor's degree,16.0,30512.0
Finland,Bachelor's degree,12.0,115999.0
United States of America,Less than Bachelor's degree,4.0,102907.0
Denmark,Bachelor's degree,7.0,86401.0
United States of America,Bachelor's degree,10.0,180000.0
Greece,Master's degree,10.0,21481.0
United States of America,Bachelor's degree,8.0,115000.0
Romania,Bachelor's degree,20.0,86309.0
Greece,Bachelor's degree,9.0,102036.0
Other,Bachelor's degree,6.0,70000.0
France,Master's degree,1.0,53703.0
United States of America,Bachelor's degree,5.0,140000.0
United States of America,Bachelor's degree,5.0,102500.0
United States of America,Bachelor's degree,11.0,108000.0
Canada,Bachelor's degree,15.0,75601.0
Russian Federation,Upper than Master's degree,4.0,49972.0
Belgium,Master's degree,11.0,91295.0
Mexico,Bachelor's degree,11.0,15095.0
Czech Republic,Bachelor's degree,23.0,134258.0
Sweden,Less than Bachelor's degree,15.0,51507.0
United States of America,Bachelor's degree,6.0,132000.0
Germany,Bachelor's degree,9.0,80555.0
Sweden,Upper than Master's degree,25.0,114461.0
United States of America,Bachelor's degree,16.0,140000.0
Other,Bachelor's degree,13.0,71962.0
Ukraine,Master's degree,7.0,120000.0
Germany,Less than Bachelor's degree,3.0,12889.0
Germany,Master's degree,28.0,107406.0
United States of America,Master's degree,17.0,93000.0
United States of America,Bachelor's degree,10.0,155250.0
Germany,Bachelor's degree,22.0,118147.0
Canada,Master's degree,24.0,109039.0
United States of America,Bachelor's degree,5.0,102000.0
Romania,Bachelor's degree,6.0,107887.0
Germany,Less than Bachelor's degree,9.0,73036.0
United States of America,Bachelor's degree,17.0,150000.0
United States of America,Bachelor's degree,15.0,165000.0
Germany,Master's degree,11.0,81629.0
Canada,Master's degree,8.0,74874.0
Germany,Less than Bachelor's degree,7.0,107406.0
Germany,Less than Bachelor's degree,1.0,15466.0
United States of America,Bachelor's degree,30.0,120000.0
Germany,Upper than Master's degree,11.0,64444.0
France,Master's degree,6.0,53703.0
United States of America,Bachelor's degree,8.0,91500.0
United States of America,Master's degree,7.0,140000.0
United States of America,Bachelor's degree,13.0,97000.0
Russian Federation,Bachelor's degree,13.0,29756.0
United States of America,Bachelor's degree,9.0,135200.0
Germany,Master's degree,17.0,85983.0
United States of America,Bachelor's degree,2.0,35000.0
Spain,Less than Bachelor's degree,10.0,59073.0
Czech Republic,Bachelor's degree,18.0,44304.0
United Kingdom of Great Britain and Northern Ireland,Bachelor's degree,3.0,53503.0
Germany,Upper than Master's degree,10.0,107406.0
Brazil,Master's degree,8.0,23311.0
Denmark,Master's degree,2.0,144002.0
Belgium,Bachelor's degree,2.0,38666.0
United States of America,Bachelor's degree,11.0,110000.0
United Kingdom of Great Britain and Northern Ireland,Bachelor's degree,20.0,71814.0
Brazil,Less than Bachelor's degree,15.0,96227.0
United States of America,Bachelor's degree,12.0,140000.0
Germany,Bachelor's degree,22.0,107406.0
Israel,Less than Bachelor's degree,7.0,119810.0
United States of America,Bachelor's degree,25.0,190000.0
India,Bachelor's degree,10.0,95708.0
Other,Master's degree,14.0,128887.0
Bulgaria,Master's degree,8.0,40276.0
India,Master's degree,20.0,57425.0
Colombia,Bachelor's degree,14.0,50467.0
France,Master's degree,10.0,77332.0
United States of America,Master's degree,29.0,160000.0
Brazil,Master's degree,5.0,81681.0
Spain,Master's degree,21.0,53703.0
Finland,Bachelor's degree,4.0,80555.0
Austria,Master's degree,5.0,161109.0
United Kingdom of Great Britain and Northern Ireland,Less than Bachelor's degree,10.0,47134.0
United States of America,Less than Bachelor's degree,12.0,133600.0
France,Master's degree,8.0,69814.0
Spain,Upper than Master's degree,28.0,107406.0
Germany,Master's degree,12.0,103110.0
Germany,Bachelor's degree,17.0,93443.0
Canada,Bachelor's degree,12.0,138117.0
United States of America,Bachelor's degree,2.0,88000.0
Portugal,Less than Bachelor's degree,9.0,53703.0
United States of America,Bachelor's degree,25.0,144000.0
Ukraine,Master's degree,5.0,29621.0
Denmark,Bachelor's degree,17.0,79201.0
France,Master's degree,20.0,64444.0
United States of America,Bachelor's degree,4.0,120000.0
Italy,Less than Bachelor's degree,7.0,42962.0
Spain,Master's degree,6.0,70888.0
United States of America,Bachelor's degree,19.0,158000.0
Norway,Master's degree,24.0,107630.0
Brazil,Less than Bachelor's degree,15.0,18649.0
Brazil,Master's degree,10.0,130541.0
Netherlands,Bachelor's degree,6.0,85184.0
Denmark,Master's degree,26.0,72001.0
United States of America,Bachelor's degree,6.0,145000.0
United States of America,Bachelor's degree,2.0,149000.0
United States of America,Bachelor's degree,6.0,90000.0
Ukraine,Bachelor's degree,8.0,50000.0
Netherlands,Bachelor's degree,26.0,57999.0
Argentina,Bachelor's degree,16.0,27934.0
United States of America,Master's degree,26.0,180000.0
Canada,Upper than Master's degree,5.0,72693.0
United States of America,Master's degree,19.0,176800.0
Germany,Master's degree,6.0,89147.0
France,Master's degree,13.0,60546.0
Other,Less than Bachelor's degree,24.0,128887.0
Poland,Bachelor's degree,6.0,49889.0
Ukraine,Bachelor's degree,7.0,120000.0
Germany,Upper than Master's degree,15.0,85925.0
Germany,Master's degree,10.0,51426.0
France,Master's degree,14.0,107406.0
United States of America,Bachelor's degree,19.0,175000.0
United Kingdom of Great Britain and Northern Ireland,Bachelor's degree,17.0,71337.0
Mexico,Bachelor's degree,7.0,70000.0
Portugal,Less than Bachelor's degree,12.0,37592.0
United States of America,Bachelor's degree,3.0,115000.0
Netherlands,Master's degree,5.0,48333.0
Brazil,Bachelor's degree,5.0,18649.0
Ireland,Bachelor's degree,20.0,53703.0
Other,Master's degree,30.0,59073.0
Germany,Master's degree,11.0,118147.0
Poland,Master's degree,17.0,77951.0
Austria,Master's degree,10.0,107406.0
United States of America,Less than Bachelor's degree,6.0,75000.0
Australia,Bachelor's degree,4.0,109009.0
Brazil,Bachelor's degree,15.0,60235.0
United States of America,Bachelor's degree,23.0,170000.0
India,Bachelor's degree,8.0,11844.0
Hungary,Bachelor's degree,20.0,27540.0
United States of America,Bachelor's degree,2.0,80000.0
Germany,Bachelor's degree,13.0,100962.0
Finland,Master's degree,25.0,91295.0
Germany,Master's degree,14.0,66592.0
Netherlands,Less than Bachelor's degree,5.0,59073.0
Turkey,Bachelor's degree,1.0,21640.0
Brazil,Master's degree,14.0,35806.0
Germany,Master's degree,15.0,92692.0
Ukraine,Master's degree,7.0,70000.0
Pakistan,Bachelor's degree,6.0,51555.0
United States of America,Bachelor's degree,30.0,182000.0
United States of America,Master's degree,9.0,143000.0
United States of America,Bachelor's degree,8.0,66000.0
Brazil,Bachelor's degree,11.0,41960.0
United States of America,Bachelor's degree,0.0,83000.0
Switzerland,Bachelor's degree,5.0,111417.0
United States of America,Bachelor's degree,6.0,135000.0
Serbia,Master's degree,8.0,83777.0
Germany,Master's degree,20.0,64444.0
Israel,Less than Bachelor's degree,12.0,34108.0
Ukraine,Less than Bachelor's degree,1.0,12000.0
France,Master's degree,3.0,47259.0
Germany,Less than Bachelor's degree,20.0,107406.0
United Kingdom of Great Britain and Northern Ireland,Less than Bachelor's degree,6.0,38216.0
Israel,Less than Bachelor's degree,5.0,83651.0
United Kingdom of Great Britain and Northern Ireland,Master's degree,12.0,114649.0
United Kingdom of Great Britain and Northern Ireland,Less than Bachelor's degree,2.0,30573.0
United States of America,Bachelor's degree,8.0,140000.0
Germany,Upper than Master's degree,9.0,75184.0
Germany,Bachelor's degree,23.0,69814.0
Greece,Upper than Master's degree,24.0,75184.0
Brazil,Less than Bachelor's degree,15.0,50911.0
Canada,Master's degree,5.0,43616.0
United States of America,Bachelor's degree,8.0,32000.0
Czech Republic,Master's degree,19.0,86870.0
United States of America,Bachelor's degree,7.0,140000.0
Poland,Master's degree,12.0,98986.0
France,Master's degree,5.0,67666.0
Germany,Bachelor's degree,6.0,80555.0
Mexico,Bachelor's degree,16.0,59515.0
Denmark,Bachelor's degree,10.0,86597.0
United States of America,Bachelor's degree,0.0,36000.0
Argentina,Less than Bachelor's degree,13.0,25000.0
Bulgaria,Less than Bachelor's degree,16.0,75000.0
Other,Bachelor's degree,18.0,61436.0
Germany,Bachelor's degree,11.0,88073.0
Germany,Bachelor's degree,9.0,74110.0
United States of America,Bachelor's degree,1.0,78300.0
Poland,Bachelor's degree,10.0,74239.0
Sweden,Less than Bachelor's degree,15.0,62629.0
Spain,Bachelor's degree,4.0,64444.0
Germany,Master's degree,7.0,56925.0
United States of America,Bachelor's degree,5.0,165000.0
United States of America,Bachelor's degree,17.0,180000.0
United States of America,Bachelor's degree,13.0,150000.0
Israel,Master's degree,15.0,80953.0
Other,Master's degree,9.0,101910.0
United States of America,Upper than Master's degree,29.0,40000.0
United States of America,Bachelor's degree,10.0,83000.0
Austria,Master's degree,10.0,123517.0
Germany,Master's degree,18.0,150369.0
Germany,Less than Bachelor's degree,2.0,12029.0
Netherlands,Bachelor's degree,10.0,68740.0
New Zealand,Bachelor's degree,26.0,81123.0
Poland,Master's degree,11.0,42564.0
Spain,Bachelor's degree,16.0,95541.0
Canada,Less than Bachelor's degree,11.0,87231.0
Germany,Master's degree,12.0,90221.0
Turkey,Bachelor's degree,12.0,25777.0
Other,Bachelor's degree,10.0,124127.0
Other,Bachelor's degree,2.0,18000.0
Germany,Bachelor's degree,7.0,82703.0
Other,Master's degree,30.0,29000.0
Turkey,Bachelor's degree,4.0,51935.0
Germany,Master's degree,1.0,45111.0
Other,Bachelor's degree,20.0,76000.0
United States of America,Bachelor's degree,8.0,120000.0
Spain,Master's degree,11.0,62296.0
India,Master's degree,13.0,26320.0
Other,Less than Bachelor's degree,7.0,15500.0
Germany,Master's degree,7.0,69814.0
United States of America,Bachelor's degree,15.0,105500.0
Greece,Bachelor's degree,7.0,33296.0
United States of America,Bachelor's degree,12.0,103000.0
Other,Less than Bachelor's degree,16.0,58000.0
Italy,Bachelor's degree,2.0,33296.0
Germany,Master's degree,6.0,60863.0
United States of America,Less than Bachelor's degree,5.0,130000.0
Germany,Bachelor's degree,13.0,98599.0
Brazil,Bachelor's degree,8.0,11189.0
Mexico,Bachelor's degree,10.0,43127.0
Slovakia,Master's degree,24.0,49407.0
Finland,Bachelor's degree,8.0,47259.0
Canada,Bachelor's degree,23.0,145386.0
Other,Bachelor's degree,13.0,23375.0
Israel,Less than Bachelor's degree,14.0,21587.0
United States of America,Master's degree,3.0,127000.0
Bulgaria,Master's degree,10.0,32954.0
Poland,Bachelor's degree,4.0,54442.0
Brazil,Less than Bachelor's degree,14.0,33568.0
France,Master's degree,12.0,51555.0
Egypt,Bachelor's degree,2.0,38666.0
South Africa,Less than Bachelor's degree,10.0,53808.0
Germany,Master's degree,15.0,97740.0
Germany,Bachelor's degree,10.0,56388.0
United States of America,Bachelor's degree,12.0,142000.0
